player_id,player,position,birth_date,league,minutes,matches,passes,passes_accurate,key_passes,assists,smart_passes,passes_into_penalty_area,progressive_passes,progressive_pass_distance,crosses,long_passes,shots,shots_on_target,goals,dribbles_won,dribbles_attempted,accelerations,touches_att_pen_area,tackles_won,tackles_attempted,interceptions,clearances,aerials_won,age,season,passes_pct,dribble_success_pct
20879,R. Nainggolan,MF,1988-05-04,Serie A,2641.0,31.0,1272.0,1041.0,16.0,8.0,22.0,83.0,183.0,7278.599999999994,90.0,96.0,61.0,14.0,4.0,162.0,321.0,33.0,70.0,39.0,162.0,76.0,21.0,22.0,29,2017-18,81.8,50.5
22933,L. Pavoletti,FW,1988-11-26,Serie A,2723.0,33.0,612.0,465.0,4.0,0.0,3.0,23.0,30.0,1618.0499999999993,4.0,33.0,73.0,32.0,11.0,61.0,187.0,0.0,281.0,20.0,118.0,60.0,21.0,206.0,29,2017-18,76.0,32.6
41368,Maurício,DF,1988-09-20,Serie A,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29,2017-18,100.0,
14745,C. Molinaro,DF,1983-07-30,Serie A,1562.0,20.0,824.0,646.0,3.0,1.0,3.0,22.0,143.0,5961.900000000003,33.0,135.0,2.0,0.0,0.0,54.0,78.0,24.0,18.0,28.0,138.0,76.0,37.0,25.0,34,2017-18,78.4,69.2
246175,A. Petagna,FW,1995-06-30,Serie A,1627.0,29.0,476.0,374.0,16.0,4.0,15.0,58.0,32.0,1548.75,25.0,35.0,39.0,15.0,4.0,118.0,332.0,8.0,201.0,3.0,52.0,24.0,2.0,27.0,22,2017-18,78.6,35.5
240042,D. Kownacki,FW,1997-03-14,Serie A,808.0,22.0,225.0,168.0,2.0,1.0,2.0,13.0,8.0,385.35000000000014,20.0,5.0,21.0,11.0,5.0,35.0,73.0,4.0,73.0,5.0,43.0,16.0,4.0,24.0,20,2017-18,74.7,47.9
20911,P. Schiattarella,MF,1987-05-30,Serie A,1994.0,31.0,1086.0,891.0,11.0,3.0,18.0,42.0,145.0,5702.549999999999,19.0,92.0,21.0,4.0,1.0,98.0,159.0,11.0,37.0,23.0,117.0,75.0,28.0,11.0,30,2017-18,82.0,61.6
410031,M. Kean,FW,2000-02-28,Serie A,1134.0,19.0,179.0,139.0,3.0,0.0,0.0,12.0,13.0,477.74999999999994,13.0,5.0,34.0,10.0,4.0,64.0,176.0,17.0,61.0,6.0,31.0,13.0,3.0,13.0,17,2017-18,77.7,36.4
285109,F. Kessié,MF,1996-12-19,Serie A,3268.0,37.0,1716.0,1460.0,18.0,1.0,15.0,87.0,172.0,8124.900000000004,88.0,74.0,70.0,24.0,5.0,176.0,361.0,41.0,212.0,41.0,218.0,124.0,28.0,53.0,21,2017-18,85.1,48.8
283062,V. Milinković-Savić,GK,1997-02-20,Serie A,90.0,1.0,34.0,28.0,0.0,0.0,0.0,0.0,13.0,526.0500000000002,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,2017-18,82.4,100.0
20927,L. De Silvestri,DF,1988-05-23,Serie A,2962.0,35.0,1334.0,1012.0,6.0,2.0,3.0,40.0,203.0,8137.5,90.0,159.0,23.0,13.0,5.0,64.0,132.0,42.0,84.0,34.0,214.0,196.0,94.0,102.0,29,2017-18,75.9,48.5
20928,Felipe,DF,1984-07-31,Serie A,2657.0,30.0,1206.0,1008.0,2.0,0.0,3.0,10.0,255.0,10852.799999999977,11.0,212.0,14.0,6.0,1.0,25.0,38.0,8.0,43.0,55.0,202.0,174.0,78.0,48.0,33,2017-18,83.6,65.8
